,mu_max,biomass_at_eps,eps_flux_mmol_gDW_h,knockouts,fg_per_cell_per_h
Cellulose,1.9527099327190829,1.7574389394471746,2.1842516809527437,"['CDGUNPD', 'LDGUNPD']",99163.2789139098
Colanic acid,1.9527099327190323,1.757438939447129,0.47588551273170665,[],78349.79081614818
PNAG,1.9527099327190323,1.757438939447129,2.314266666666936,[],143342.90021335002
