carbon_source,flux_minimum,carbon_yield_minimum,mass_yield_minimum,flux_maximum,carbon_yield_maximum,mass_yield_maximum,BIOMASS_Ec_iML1515_core_75p37M,condition
EX_glc__D_e,0.0,0.0,0.0,8.956893203883483,0.8956893203883484,0.8061219196473579,0.0,baseline
EX_glc__D_e,0.0,0.0,0.0,8.490374990748595,0.8490374990748595,0.7641352007078379,0.04615774812773604,baseline
EX_glc__D_e,0.0,0.0,0.0,8.023855547935439,0.8023855547935438,0.7221483710970638,0.09231549625547208,baseline
EX_glc__D_e,0.0,0.0,0.0,7.557336719961437,0.7557336719961437,0.6801615968219187,0.13847324438320813,baseline
EX_glc__D_e,0.0,0.0,0.0,7.090817891987421,0.7090817891987421,0.6381748225467722,0.18463099251094417,baseline
EX_glc__D_e,0.0,0.0,0.0,6.622127659056257,0.6622127659056257,0.5959926214542524,0.2307887406386802,baseline
EX_glc__D_e,0.0,0.0,0.0,6.151200809915124,0.6151200809915124,0.5536091245204565,0.27694648876641625,baseline
EX_glc__D_e,0.0,0.0,0.0,5.679941424763428,0.5679941424763428,0.5111956992888587,0.3231042368941523,baseline
EX_glc__D_e,0.0,0.0,0.0,5.208412319545315,0.5208412319545315,0.46875799920517114,0.36926198502188834,baseline
EX_glc__D_e,0.0,0.0,0.0,4.736883214327084,0.4736883214327084,0.426320299121473,0.4154197331496244,baseline
EX_glc__D_e,0.0,0.0,0.0,4.265354109109046,0.4265354109109046,0.3838825990377922,0.4615774812773604,baseline
EX_glc__D_e,0.0,0.0,0.0,3.793825003890948,0.3793825003890948,0.3414448989541061,0.5077352294050965,baseline
EX_glc__D_e,0.0,0.0,0.0,3.3222958986727615,0.33222958986727613,0.299007198870412,0.5538929775328325,baseline
EX_glc__D_e,0.0,0.0,0.0,2.85076679345476,0.285076679345476,0.2565694987867345,0.6000507256605685,baseline
EX_glc__D_e,0.0,0.0,0.0,2.379237688236388,0.2379237688236388,0.21413179870302368,0.6462084737883046,baseline
EX_glc__D_e,0.0,0.0,0.0,1.9061011752681551,0.1906101175268155,0.17154943164701802,0.6923662219160407,baseline
EX_glc__D_e,0.0,0.0,0.0,1.429575881451078,0.14295758814510778,0.12866207373526006,0.7385239700437767,baseline
EX_glc__D_e,0.0,0.0,0.0,0.9530505876340978,0.09530505876340976,0.08577471582351084,0.7846817181715127,baseline
EX_glc__D_e,0.0,0.0,0.0,0.47652529381682573,0.04765252938168258,0.04288735791173534,0.8308394662992488,baseline
EX_glc__D_e,0.0,0.0,0.0,0.0,0.0,0.0,0.8769972144269849,baseline
EX_glc__D_e,0.0,0.0,0.0,18.180194174757304,0.9090097087378652,0.8181102919348661,0.0,high_glucose
EX_glc__D_e,0.0,0.0,0.0,17.233429491444163,0.8616714745722082,0.7755058002548824,0.0936736593855912,high_glucose
EX_glc__D_e,0.0,0.0,0.0,16.286664808130983,0.8143332404065492,0.7329013085748971,0.1873473187711824,high_glucose
EX_glc__D_e,0.0,0.0,0.0,15.339900124817845,0.7669950062408922,0.6902968168949135,0.2810209781567736,high_glucose
EX_glc__D_e,0.0,0.0,0.0,14.392015427104672,0.7196007713552336,0.647641924471188,0.3746946375423648,high_glucose
EX_glc__D_e,0.0,0.0,0.0,13.436304998166504,0.6718152499083252,0.6046348734733821,0.468368296927956,high_glucose
EX_glc__D_e,0.0,0.0,0.0,12.480035905934466,0.6240017952967233,0.5616026825795966,0.5620419563135473,high_glucose
EX_glc__D_e,0.0,0.0,0.0,11.523103243830564,0.5761551621915282,0.5185406309848544,0.6557156156991384,high_glucose
EX_glc__D_e,0.0,0.0,0.0,10.56617058172657,0.5283085290863285,0.47547857939010796,0.7493892750847296,high_glucose
EX_glc__D_e,0.0,0.0,0.0,9.609237919622842,0.4804618959811421,0.4324165277953735,0.8430629344703209,high_glucose
EX_glc__D_e,0.0,0.0,0.0,8.652305257518726,0.4326152628759363,0.38935447620062164,0.936736593855912,high_glucose
EX_glc__D_e,0.0,0.0,0.0,7.695372595415041,0.38476862977075205,0.34629242460588905,1.0304102532415031,high_glucose
