condition,mu_max,Cellulose,Colanic acid,PNAG,Total EPS,fg_Cellulose,fg_Colanic acid,fg_PNAG,fg_total
baseline,0.877,0.902271,0.167727,0.675768,1.7458,40962.3815832,41327.932799999995,41856.2589984,124146.5733816
high_glucose,1.7798,1.83109,0.340388,1.37142,3.5429,83130.02112800001,83871.60320000001,84944.10909600001,251945.73342400003
low_oxygen,0.3535,0.946731,0.172936,0.625231,1.7449,42980.8300152,42611.430400000005,38726.0578628,124318.31827799999
N_limited,0.1852,7.247322,1.346743,0.2,8.7941,329022.62094239995,331837.4752,12387.760000000002,673247.8561424
EPS_phenotype,0.877,0.902271,0.167727,0.675768,1.7458,40962.3815832,41327.932799999995,41856.2589984,124146.5733816
combined_EPS,0.1852,16.438854,3.056714,0.2,19.6956,746310.8205168,753174.3296,12387.760000000002,1511872.9101168
