t,biomass,mu,eps_mg_Cellulose,eps_mg_Colanic acid,eps_mg_PNAG,eps_mg_Total EPS,aa_total_remaining,eps_accum_Cellulose,eps_accum_Colanic acid,eps_accum_PNAG,eps_accum_Total EPS
0.0,0.011881515259389061,1.8815152593890596,350.54423809124523,266.6009885931745,479.60339000005,1096.7486166844697,82.88163108311937,0.4164996713972043,0.31676237141380126,0.5698414996740317,1.3031035424850372
0.1,0.014117040485909515,1.8815152593890647,350.54423809123114,266.6009885931826,479.6033900000334,1096.7486166844471,82.74217902542983,0.9113643915208258,0.6931240663691471,1.246899547055024,2.851388004944997
0.2,0.016773183195074735,1.8815152593890814,350.54423809124086,266.60098859315536,479.6033900000056,1096.748616684402,82.5764888502907,1.4993386638690538,1.1402987885352496,2.051347099199921,4.690984551604224
0.30000000000000004,0.019929083208080917,1.8815152593890927,350.5442380911759,266.6009885931347,479.60338999999755,1096.748616684308,82.37962381586604,2.197941192772291,1.671610117038171,3.0071526858186846,6.876703995629146
0.4,0.023678770624244814,1.8815152593890814,350.5442380912409,266.60098859315195,479.6033899999904,1096.7486166843833,82.14571832481039,3.0279868535136067,2.302888482747586,4.142794552060685,9.473669888321878
0.5,0.028133967449553866,1.8815152593890798,350.5442380911966,266.60098859313996,479.60338999996895,1096.7486166843055,81.86780315868711,4.014206871922245,3.0529428362574142,5.4921091683561665,12.559258876535825
0.6,0.03342741635590299,1.8815152593890776,350.54423809121727,266.6009885931622,479.6033899999619,1096.7486166843414,81.53759782997619,5.185985691706036,3.944121060917312,7.095299388679291,16.22540614130264
0.7,0.039716835751461385,1.88151525938909,350.54423809119606,266.60098859311313,479.60338999994843,1096.7486166842575,81.14526386479514,6.578236484494957,5.002975828430302,9.000132295326495,20.581344608251754
0.7999999999999999,0.04718961900356381,1.8815152593890776,350.54423809121715,266.60098859316173,479.6033899999619,1096.748616684341,80.67911166538758,8.232441388436866,6.261055736198779,11.263362420018078,25.756859544653725
0.8999999999999999,0.05606841782756007,1.8815152593890874,350.5442380911964,266.6009885931253,479.60339000000886,1096.7486166843305,80.12525221834176,10.197887469270956,7.755845298366772,13.952422746221552,31.906155513859282
0.9999999999999999,0.06661777619879576,1.8815152593890776,350.54423809121727,266.600988593162,479.60339000001477,1096.7486166843942,79.46718327117856,12.533135229364765,9.531881797614469,17.147433876142028,39.212450903121265
1.0999999999999999,0.07915201244525585,1.8815152593890798,350.5442380911966,266.60098859313996,479.60338999996895,1096.7486166843055,78.6852976474336,15.307763418965477,11.642082274318643,20.943591225548474,47.89343691883259
1.2,0.09404458436796616,1.8815152593890776,350.54423809121727,266.60098859316173,479.6033899999619,1096.748616684341,77.75629905047134,18.604442136352866,14.14932019075192,25.454001372949875,58.20776370005466
1.3,0.11173921642308943,1.8815152593890874,350.5442380911965,266.6009885931253,479.60339000000886,1096.7486166843307,76.65250794989555,22.521395984946786,17.128298747053602,30.81305207219571,70.4627468041961
1.4000000000000001,0.13276312050031158,1.8815152593890776,350.54423809121715,266.60098859316173,479.6033899999619,1096.748616684341,75.34103686942856,27.175330677186203,20.667776664463215,37.180416338087994,85.02352367973742
1.5000000000000002,0.15774270421085643,1.8815152593890874,350.5442380911964,266.6009885931253,479.60339000000886,1096.7486166843305,73.78281050394702,32.70491028339016,24.873212753059942,44.745809906817534,102.32393294326765
1.6000000000000003,0.18659262654866063,1.8289227690201246,352.36949164055056,267.9891568977871,471.1726674566763,1091.531315995014,72.0244809403731,39.27986517947283,29.873692820271863,53.537544464685524,122.69110246443023
1.7000000000000004,0.20802500643523203,1.1486188003780606,164.66121783441565,125.28543412414929,230.8324026939572,520.7790546525221,71.09862055223746,42.705230269436576,32.479943144263565,58.33943567027258,133.52460908397273
1.8000000000000005,0.23191914976925915,1.1486188003780449,164.6612178344334,125.28543412419214,230.83240269399994,520.7790546526255,70.06641409926802,46.524039233449834,35.38555228031908,63.69288112747135,145.60247264124027
1.9000000000000006,0.2585578193285254,1.1486188003780458,164.66121783444186,125.28543412418952,230.83240269399488,520.7790546526262,68.91564647252333,50.78148377457509,38.62490514439689,69.66123339456368,159.06762231353565
2.0000000000000004,0.2882562565550748,1.1486188003780458,164.6612178344355,125.28543412417409,230.83240269399306,520.7790546526026,67.63269951268413,55.52794639985051,42.23633616854808,76.31512182378208,174.07940439218063
2.1000000000000005,0.3213659121156505,1.148618800378049,164.6612178344111,125.28543412417203,230.8324026939493,520.7790546525324,66.20239085304897,60.81959664579344,46.26258294976006,83.7332883875409,190.81546798309438
2.2000000000000006,0.35794626894882525,1.1382774418218478,164.5229664073017,124.61050639666395,224.90246179889672,514.0359346028624,64.61600441643297,66.7086348439821,50.72296953341102,91.78358809537298,209.21519247276606
2.3000000000000007,0.39577118960806296,1.0567206293368423,152.73500661141995,115.6822474938115,208.7883518021407,477.20560590737216,62.916657571561046,72.7534463701218,55.30133960412703,100.04682953227697,228.10161550652577
2.400000000000001,0.43759314766366547,1.056720629336848,152.7350066114039,115.68224749381842,208.78835180211317,477.20560590733544,61.03773723995163,79.43702560027329,60.36351548508975,109.18326473833652,248.98380582369953
2.500000000000001,0.48383451830292934,1.056720629336843,152.7350066114029,115.6822474938192,208.78835180213085,477.20560590735295,58.960267520813,86.82687243545557,65.96062193432698,119.28516590048118,272.07266027026367
2.600000000000001,0.5320529438239772,0.9965891993439429,141.1784672208417,106.42036073329149,189.4719265378055,437.0707544919387,56.74347235985451,94.33831434439614,71.62274855542272,129.36607552912514,295.32713842894395
2.700000000000001,0.5824521181129108,0.9472586304420009,134.19021758966562,101.15261657032522,180.09317957446027,415.4360137344511,54.733406819816075,102.15425199090944,77.51440413282762,139.85564091920847,319.5242970429455
2.800000000000001,0.6368039229746115,0.9331549010036296,152.15782148971306,113.70717237499252,194.58422487448084,460.44921873918645,52.66050307210929,111.84372175450144,84.75532147670218,152.24684069411282,348.84588392531634
