carbon_source,flux_minimum,carbon_yield_minimum,mass_yield_minimum,flux_maximum,carbon_yield_maximum,mass_yield_maximum,BIOMASS_Ec_iML1515_core_75p37M
EX_glc__D_e,0.0,0.0,0.0,8.956893203883483,0.8956893203883484,0.8061219196473579,0.0
EX_glc__D_e,0.0,0.0,0.0,8.490374990748606,0.8490374990748606,0.7641352007078389,0.04615774812773571
EX_glc__D_e,0.0,0.0,0.0,8.023855547935444,0.8023855547935443,0.7221483710970643,0.09231549625547142
EX_glc__D_e,0.0,0.0,0.0,7.557336719961486,0.7557336719961486,0.6801615968219229,0.13847324438320713
EX_glc__D_e,0.0,0.0,0.0,7.0908178919874505,0.7090817891987451,0.6381748225467747,0.18463099251094284
EX_glc__D_e,0.0,0.0,0.0,6.622127659056305,0.6622127659056306,0.5959926214542566,0.23078874063867855
EX_glc__D_e,0.0,0.0,0.0,6.151200809915177,0.6151200809915177,0.5536091245204613,0.27694648876641426
EX_glc__D_e,0.0,0.0,0.0,5.6799414247634505,0.5679941424763452,0.5111956992888607,0.32310423689414997
EX_glc__D_e,0.0,0.0,0.0,5.208412319545339,0.5208412319545339,0.46875799920517325,0.3692619850218857
EX_glc__D_e,0.0,0.0,0.0,4.73688321432715,0.47368832143271505,0.426320299121479,0.4154197331496214
EX_glc__D_e,0.0,0.0,0.0,4.2653541091091265,0.4265354109109127,0.38388259903779953,0.4615774812773571
EX_glc__D_e,0.0,0.0,0.0,3.7938250038909316,0.37938250038909316,0.3414448989541047,0.5077352294050927
EX_glc__D_e,0.0,0.0,0.0,3.3222958986728752,0.3322295898672875,0.2990071988704222,0.5538929775328285
EX_glc__D_e,0.0,0.0,0.0,2.8507667934548304,0.28507667934548303,0.25656949878674085,0.6000507256605643
EX_glc__D_e,0.0,0.0,0.0,2.3792376882364614,0.23792376882364613,0.21413179870303028,0.6462084737882999
EX_glc__D_e,0.0,0.0,0.0,1.9061011752682482,0.1906101175268248,0.1715494316470264,0.6923662219160356
EX_glc__D_e,0.0,0.0,0.0,1.4295758814511537,0.14295758814511536,0.1286620737352669,0.7385239700437713
EX_glc__D_e,0.0,0.0,0.0,0.9530505876340668,0.09530505876340668,0.08577471582350805,0.7846817181715071
EX_glc__D_e,0.0,0.0,0.0,0.47652529381689807,0.04765252938168981,0.04288735791174184,0.8308394662992428
EX_glc__D_e,0.0,0.0,0.0,0.0,0.0,0.0,0.8769972144269785
