condition,mu_max,Cellulose,Colanic acid,PNAG,Total EPS,fg_Cellulose,fg_Colanic acid,fg_PNAG,fg_total
baseline,1.9527,2.184252,0.475886,2.314267,4.9744,99163.2933984,78349.87104,143342.9208596,320856.085298
high_glucose,3.0652,4.898921,1.063286,4.683524,10.6457,222407.09426319998,175059.40704000002,290091.8563312001,687558.3576344001
low_oxygen,0.7686,0.87085,0.192212,0.98613,2.0492,39535.893319999996,31645.78368,61079.70884399999,132261.38584399997
N_limited,1.299,1.200794,0.249625,1.166937,2.6174,54515.08696479999,41098.26000000001,72278.6774556,167892.0244204
EPS_phenotype,1.9527,2.184252,0.475886,2.314267,4.9744,99163.2933984,78349.87104,143342.9208596,320856.085298
combined_EPS,2.1596,4.379046,0.902928,3.568714,8.8507,198805.1851632,148658.06592,221041.86270320002,568505.1137864001
